Course Code,Course Name,Semester,Department,LTPSC,Credits,Instructor,Registered Students,Elective (Yes/No),Half Semester (Yes/No),Combined class,Pre /Post,Basket Code
DS456,Cybersecurity Techniques,7,CSE,3-1-0-0-4,4,Rajendra Hegadi,0,Yes,No,no,basket,A
EC456,Reinforcement learning,7,CSE,3-1-0-0-4,4,Dibyajyothi,0,Yes,No,no,basket,A
DS401,Health Care Data Analytics,7,CSE,3-1-0-0-4,4,Girish Revadigar,0,Yes,No,no,basket,A
EC462,Generative AI,7,CSE,3-1-0-0-4,4,Chinmayananda,0,Yes,No,no,basket,B
EC465,Hands on CMOS Analog and RF circuit design,7,CSE,3-1-0-0-4,4,Rajesh Kumar,0,Yes,No,no,basket,B
ASD352,User Interactions and Experience Design,7,CSE,3-1-0-0-4,4,Sandesh P,0,Yes,No,no,basket,B
PH454,Quantum AI+ Quantum Gen AI: Generative Models on Quantum Platform,7,CSE,3-1-0-0-4,4,Aswath Babu,0,Yes,No,no,basket,B
CS457,DevOps and its Applications,7,CSE,3-1-0-0-4,4,Shirshendu Layek,0,Yes,No,no,basket,C
DS458,Agentic AI,7,CSE,3-1-0-0-4,4,Sunil Saumya,0,Yes,No,no,basket,C
CS468,Information Retrieval,7,CSE,3-1-0-0-4,4,Krishnendu,0,Yes,No,no,basket,C
CS473,Cloud SRE and Security,7,CSE,3-1-0-0-4,4,Malay,0,Yes,No,no,basket,C
NEW,Software Defined Networks,7,CSE,3-1-0-0-4,4,Jagadeesha R B,0,Yes,No,no,basket,C
CS470,AI for cybersecurity,7,CSE,3-1-0-0-4,4,Abdul Wahid,0,Yes,No,no,basket,D
DS102,Finance and Accounting,7,CSE,3-1-0-0-4,4,Anushree Kini,0,Yes,No,no,basket,D
MA452,Operation Research,7,CSE,3-1-0-0-4,4,Anand B,0,Yes,No,no,basket,D
EC463,Energy Efficient Neural Networks,7,CSE,3-1-0-0-4,4,Jagadish D.N,0,Yes,No,no,basket,D
DS456,Cybersecurity Techniques,7,DSAI,3-1-0-0-4,4,Rajendra Hegadi,0,Yes,No,no,basket,A
EC456,Reinforcement learning,7,DSAI,3-1-0-0-4,4,Dibyajyothi,0,Yes,No,no,basket,A
DS401,Health Care Data Analytics,7,DSAI,3-1-0-0-4,4,Girish Revadigar,0,Yes,No,no,basket,A
EC462,Generative AI,7,DSAI,3-1-0-0-4,4,Chinmayananda,0,Yes,No,no,basket,B
EC465,Hands on CMOS Analog and RF circuit design,7,DSAI,3-1-0-0-4,4,Rajesh Kumar,0,Yes,No,no,basket,B
ASD352,User Interactions and Experience Design,7,DSAI,3-1-0-0-4,4,Sandesh P,0,Yes,No,no,basket,B
PH454,Quantum AI+ Quantum Gen AI: Generative Models on Quantum Platform,7,DSAI,3-1-0-0-4,4,Aswath Babu,0,Yes,No,no,basket,B
CS457,DevOps and its Applications,7,DSAI,3-1-0-0-4,4,Shirshendu Layek,0,Yes,No,no,basket,C
DS458,Agentic AI,7,DSAI,3-1-0-0-4,4,Sunil Saumya,0,Yes,No,no,basket,C
CS468,Information Retrieval,7,DSAI,3-1-0-0-4,4,Krishnendu,0,Yes,No,no,basket,C
CS473,Cloud SRE and Security,7,DSAI,3-1-0-0-4,4,Malay,0,Yes,No,no,basket,C
NEW,Software Defined Networks,7,CSE,3-1-0-0-4,4,Jagadeesha R B,0,Yes,No,no,basket,C
CS470,AI for cybersecurity,7,DSAI,3-1-0-0-4,4,Abdul Wahid,0,Yes,No,no,basket,D
DS102,Finance and Accounting,7,DSAI,3-1-0-0-4,4,Anushree Kini,0,Yes,No,no,basket,D
MA452,Operation Research,7,DSAI,3-1-0-0-4,4,Anand B,0,Yes,No,no,basket,D
EC463,Energy Efficient Neural Networks,7,DSAI,3-1-0-0-4,4,Jagadish D.N,0,Yes,No,no,basket,D
DS456,Cybersecurity Techniques,7,ECE,3-1-0-0-4,4,Rajendra Hegadi,0,Yes,No,no,basket,A
EC456,Reinforcement learning,7,ECE,3-1-0-0-4,4,Dibyajyothi,0,Yes,No,no,basket,A
DS401,Health Care Data Analytics,7,ECE,3-1-0-0-4,4,Girish Revadigar,0,Yes,No,no,basket,A
EC462,Generative AI,7,ECE,3-1-0-0-4,4,Chinmayananda,0,Yes,No,no,basket,B
EC465,Hands on CMOS Analog and RF circuit design,7,ECE,3-1-0-0-4,4,Rajesh Kumar,0,Yes,No,no,basket,B
ASD352,User Interactions and Experience Design,7,ECE,3-1-0-0-4,4,Sandesh P,0,Yes,No,no,basket,B
PH454,Quantum AI+ Quantum Gen AI: Generative Models on Quantum Platform,7,ECE,3-1-0-0-4,4,Aswath Babu,0,Yes,No,no,basket,B
CS457,DevOps and its Applications,7,ECE,3-1-0-0-4,4,Shirshendu Layek,0,Yes,No,no,basket,C
DS458,Agentic AI,7,ECE,3-1-0-0-4,4,Sunil Saumya,0,Yes,No,no,basket,C
CS468,Information Retrieval,7,ECE,3-1-0-0-4,4,Krishnendu,0,Yes,No,no,basket,C
CS473,Cloud SRE and Security,7,ECE,3-1-0-0-4,4,Malay,0,Yes,No,no,basket,C
CS470,AI for cybersecurity,7,ECE,3-1-0-0-4,4,Abdul Wahid,0,Yes,No,no,basket,C
NEW,Software Defined Networks,7,CSE,3-1-0-0-4,4,Jagadeesha R B,0,Yes,No,no,basket,C
DS102,Finance and Accounting,7,ECE,3-1-0-0-4,4,Anushree Kini,0,Yes,No,no,basket,D
MA452,Operation Research,7,ECE,3-1-0-0-4,4,Anand B,0,Yes,No,no,basket,D
EC463,Energy Efficient Neural Networks,7,ECE,3-1-0-0-4,4,Jagadish D.N,0,Yes,No,no,basket,D
TBD,Mini Project 2,7,ECE,3-1-0-0-2,2,"Animesh,Pramod",0,No,No,Yes,full,
